Prompt,Answer
"1| try:  

2| 	some_function()  

3| except:  

4| 	print(""An error occurred!"")  

5| [fill in this blank]  

6|  

The code segment above attempts to call some_function, and catches any errors that result. 

Imagine we wanted to modify this code so that we specifically catch KeyError and print ""A KeyError occurred!"". Which of the following code segments could we add to lines 5 and 6 to accomplish this? (There may be more than one correct answer. Choose any correct answer.) 

 

except: 
 print(""A KeyError occurred!"") 

 

 
 

except KeyError: 
 print(""A KeyError occurred!"") 

 

 

except KeyError as ex: 
 print(""A KeyError occurred!"") 

 

try: 
 print(""A KeyError occurred!"") 

 

else: 
 print(""A KeyError occurred!"") 

 

finally: 
 print(""A KeyError occurred!"") 

 

 
 

None of the above 

 

 ",None of the above
"1| def is_a_factor(number, potential_factor):  

The function is_a_factor should return True if potential_factor is a factor of number, False if it is not. potential_factor is a factor of number if potential_factor goes into number evenly (no remainder). 

Which of the following will correctly complete this function? (There may be more than one correct answer. Choose any correct answer.) 

 

 

if number % potential_factor == 0: 
 return True 
return False 

 

if number % potential_factor == 1: 
 return True 
return False 

 

if number % potential_factor == 0: 
 return False 
return True 

 

if number % potential_factor == 1: 
 return False 
return True 

 

if number % potential_factor == 0: 
 return False 
else: 
 return True 

 

if number % potential_factor == 1: 
 return True 
else: 
 return False 

 

return number % potential_factor == 0 

 

None of the above ","if number % potential_factor == 0:
    return True
return False"
"1| def average_evens(start, end):  

2|         sum = 0  

3|         count = 0  

4|         for i in range(start, end + 1):  

5|                 [fill in this blank]  

6|         return sum / count  

The function average_evens should return the average of all the even numbers between start and end (inclusive). 

Which of the following segments would correctly complete this function? (There may be more than one correct answer. Choose any correct answer.) 

 

sum += i 

 

count += 1 

 

sum += i 
count += 1 

 

if i % 2 == 0: 
 sum += i 
 count += 1 

 

if i % 2 == 0: 
 sum += i 
 count += 1 

 

if not (i % 2 == 0): 
 sum += i 
 count += 1 

 

if not (i % 2 == 0): 
 sum += i 
 count += 1 

 

if i % 2 == 1: 
 sum += i 
 count += 1 

 

if i % 2 == 1: 
 sum += i 
 count += 1 

 

if not (i % 2 == 1): 
 sum += i 
 count += 1 

 

if not (i % 2 == 1): 
 sum += i 
 count += 1 

 

None of the above 

 
 

 ","if i % 2 == 0:
            sum += i
            count += 1"
"print(bool(""""))
What will be printed?
True
False
None
Error",FALSE
"print(5**2)
What will be the output of this Python code?
10
25
5
None",25
"for i in range(1, 4):
    print(i)
What will be the output?
0 1 2
1 2 3
1 2 3 4
None",1 2 3
"print(float(5))
What will be the output?
5
5.0
None
Error",5
"for i in range(1, 4):
    print(i)
What will be the output?
0 1 2
1 2 3
1 2 3 4
None",1 2 3
"x = [1, 2, 3]
print(x[0])
What will be printed?
1
2
None
Error",1
"y = [1, 2, 3]
print(y[-1])
What is the output of this code?
1
2
3
None",3
"print(bool(""""))
What will be printed?
True
False
None
Error",FALSE
"def func(x):
    return x * 2
print(func(3))
What is the output?
6
3
9
None",6
"x = ""hello""
print(len(x))
What will be printed?
4
5
None
Error",5
"print(5//2)
What would be the output of this Python code?
2
2.0
3
None",2
"y = [1, 2, 3]
print(y[-1])
What is the output of this code?
1
2
3
None",3
"x = ""hello""
print(len(x))
What will be printed?
4
5
None
Error",5
"for i in range(1, 4):
    print(i)
What will be the output?
0 1 2
1 2 3
1 2 3 4
None",1 2 3
"for i in range(1, 4):
    print(i)
What will be the output?
0 1 2
1 2 3
1 2 3 4
None",1 2 3
"def func(x):
    return x * 2
print(func(3))
What is the output?
6
3
9
None",6
"print(bool(""""))
What will be printed?
True
False
None
Error",FALSE
"for i in range(1, 4):
    print(i)
What will be the output?
0 1 2
1 2 3
1 2 3 4
None",1 2 3
"print(float(5))
What will be the output?
5
5.0
None
Error",5
"x = 5
x += 3
print(x)
What will be printed?
5
3
8
None",8
"for i in range(1, 4):
    print(i)
What will be the output?
0 1 2
1 2 3
1 2 3 4
None",1 2 3
"x = 5
x += 3
print(x)
What will be printed?
5
3
8
None",8
"print(5**2)
What will be the output of this Python code?
10
25
5
None",25
"x = [1, 2, 3]
print(x[0])
What will be printed?
1
2
None
Error",1
"print(float(5))
What will be the output?
5
5.0
None
Error",5
"def func(x):
    return x * 2
print(func(3))
What is the output?
6
3
9
None",6
"print(float(5))
What will be the output?
5
5.0
None
Error",5
"print(5//2)
What would be the output of this Python code?
2
2.0
3
None",2
"y = [1, 2, 3]
print(y[-1])
What is the output of this code?
1
2
3
None",3
"y = [1, 2, 3]
print(y[-1])
What is the output of this code?
1
2
3
None",3
"x = [1, 2, 3]
print(x[0])
What will be printed?
1
2
None
Error",1
"def func(x):
    return x * 2
print(func(3))
What is the output?
6
3
9
None",6
"print(5//2)
What would be the output of this Python code?
2
2.0
3
None",2
"x = ""hello""
print(len(x))
What will be printed?
4
5
None
Error",5
"x = 5
x += 3
print(x)
What will be printed?
5
3
8
None",8
"x = 5
x += 3
print(x)
What will be printed?
5
3
8
None",8
"print(float(5))
What will be the output?
5
5.0
None
Error",5
"print(5//2)
What would be the output of this Python code?
2
2.0
3
None",2
"x = ""hello""
print(len(x))
What will be printed?
4
5
None
Error",5
"print(bool(""""))
What will be printed?
True
False
None
Error",FALSE
"x = [1, 2, 3]
print(x[0])
What will be printed?
1
2
None
Error",1
"x = 5
x += 3
print(x)
What will be printed?
5
3
8
None",8
"x = 5
x += 3
print(x)
What will be printed?
5
3
8
None",8
"print(bool(""""))
What will be printed?
True
False
None
Error",FALSE
"print(float(5))
What will be the output?
5
5.0
None
Error",5
"print(bool(""""))
What will be printed?
True
False
None
Error",FALSE
"x = [1, 2, 3]
print(x[0])
What will be printed?
1
2
None
Error",1
"print(float(5))
What will be the output?
5
5.0
None
Error",5
"print(5**2)
What will be the output of this Python code?
10
25
5
None",25
"print(5**2)
What will be the output of this Python code?
10
25
5
None",25
